Feature_ID	Taxon	Consensus
0158d9e960ede57dfa3f1fd4e5136511	Unassigned	1.0
015a171dd2e226e8da97cd18dba272ff	k__Fungi;p__Glomeromycota;c__Archaeosporomycetes;o__Archaeosporales;f__Ambisporaceae;g__Ambispora	0.8
0161af373a8403c5d3816bb3aac090a5	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Pulvinula;s__unidentified	1.0
016947fca7a3b0e79528a113d8032c7b	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae;g__Apiotrichum	0.7
0171824a7228f08abc41959e3f4d8574	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae	1.0
0175daf4c4dcb7b376dd49e3647a3b4d	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales	0.571
017f88e77b9f19b536ce665166401e61	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__unidentified;g__unidentified;s__unidentified	0.857
018fb343083bdaaa9484a1babb3c1502	Unassigned	1.0
0190c999b68e7269786e4dee31340347	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Clavariaceae;g__Clavaria;s__Clavaria_crosslandii	1.0
019baa3270c0b990ed33341e11d0ddac	Unassigned	1.0
01a52b045110e4b84fc17bbe9d8d9865	Unassigned	1.0
01a8952696007f4619fb6ec4c263cb5e	Unassigned	1.0
01a9449a6e7eb627d31a5d0d22bca90a	Unassigned	1.0
01adf81da7ec24ee7eb86326b5d91ea6	Unassigned	1.0
01af6dc0c48df97121004459d29a5e4d	Unassigned	1.0
01b0f67c146c49de0c68e1dbace3125f	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__unidentified;s__unidentified	0.7
01b5e1e2acdc6696b4b484352a8cf7bd	Unassigned	1.0
01c1ff85e465296df04810d5d02323dd	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_minutissima	1.0
01c5dfda93ea0abe183bf3f0a44dab8b	Unassigned	1.0
01ca74670d8aeb3d6197238c6819dfc0	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Cortinariaceae;g__Cortinarius	1.0
01cddd48940f0993180574ee40a6b3af	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Auriculariales;f__unidentified;g__unidentified;s__unidentified	0.7
01e20a3ece1bcf378a132a7412883666	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Piskurozymaceae;g__Solicoccozyma	0.714
01e657ce2372c76a2ede9f990ec26081	Unassigned	1.0
01f5ed5d8725b8bdda06a12496060c46	Unassigned	1.0
0210fec5c3ecdf5b404e22fc30de7501	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae	0.7
0212852ce98fe712bef7f33a2867140f	Unassigned	1.0
021f5f86e95e081433a1c8c953075b99	k__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales;f__Cunninghamellaceae;g__Absidia;s__Absidia_glauca	0.667
02203b2e4ffc0befd7844ca14e22a11c	Unassigned	1.0
0222a1d9d6d4d134869d3fb91990978a	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella	1.0
0228d524de0c83369ea56fcd6e6f3752	k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Leucosporidiales;f__Leucosporidiaceae;g__Leucosporidium	0.9
022e8ea6de61dbd296e97e77a4fff234	Unassigned	1.0
0237cbcd3bfc9c6c98e0249671ced11d	k__Fungi;p__Ascomycota;c__Orbiliomycetes;o__Orbiliales;f__Orbiliaceae	1.0
02397105596253a39b5806ea4272fa39	Unassigned	1.0
023bd5519327205615035a466c1b5338	Unassigned	1.0
