SampleID	SampleIDBac	Sample_IDa	Treatment_Descrip	Replication	Sampling_Location	Sampling_Time	Sampling_Year	Date	Season	Lab	NucliecAcid	TreatmentCode	Replication_Code	FertMan	NI	NIT	NI_app	NI_ Cons.	Tillage	Year_Time	Crop
KL22Fun-25	KL22Bac-25	22EH25	Chemical fertilizer NS 	1	Højbakkegaard	Early_15d	2022		Spring	Tanja	DNA	NS	a	NS	No	No	Yes	1	PL	2022_Early	SpringBarley
KL22Fun-26	KL22Bac-26	22EH26	Chemical fertilizer NS 	2	Højbakkegaard	Early_15d	2022		Spring	Tanja	DNA	NS	b	NS	No	No	Yes	1	PL	2022_Early	SpringBarley
KL22Fun-27	KL22Bac-27	22EH27	Chemical fertilizer NS 	3	Højbakkegaard	Early_15d	2022		Spring	Tanja	DNA	NS	c	NS	No	No	Yes	1	PL	2022_Early	SpringBarley
KL22Fun-28	KL22Bac-28	22EH28	Chemical fertilizer NS + DMPP	1	Højbakkegaard	Early_15d	2022		Spring	Tanja	DNA	NS_DMPP	a	NS	DMPP	DMPP	Yes	1	PL	2022_Early	SpringBarley
KL22Fun-29	KL22Bac-29	22EH29	Chemical fertilizer NS + DMPP	2	Højbakkegaard	Early_15d	2022		Spring	Tanja	DNA	NS_DMPP	b	NS	DMPP	DMPP	Yes	1	PL	2022_Early	SpringBarley
KL22Fun-30	KL22Bac-30	22EH30	Chemical fertilizer NS + DMPP	3	Højbakkegaard	Early_15d	2022		Spring	Tanja	DNA	NS_DMPP	c	NS	DMPP	DMPP	Yes	1	PL	2022_Early	SpringBarley
KL22Fun-31	KL22Bac-31	22LH1	"Control (no NI, no fertilizer)"	1	Højbakkegaard	Late_50d	2022		Fall	Tanja	DNA	C	a	No	No	No	No	0	PL	2022_Late	SpringBarley
KL22Fun-32	KL22Bac-32	22LH2	"Control (no NI, no fertilizer)"	2	Højbakkegaard	Late_50d	2022		Fall	Tanja	DNA	C	b	No	No	No	No	0	PL	2022_Late	SpringBarley
KL22Fun-33	KL22Bac-33	22LH3	"Control (no NI, no fertilizer)"	3	Højbakkegaard	Late_50d	2022		Fall	Tanja	DNA	C	c	No	No	No	No	0	PL	2022_Late	SpringBarley
KL22Fun-34	KL22Bac-34	22LH4	pig slurry	1	Højbakkegaard	Late_50d	2022		Fall	Tanja	DNA	PS	a	PS	No	No	No	0	PL	2022_Late	SpringBarley
KL22Fun-35	KL22Bac-35	22LH5	pig slurry	2	Højbakkegaard	Late_50d	2022		Fall	Tanja	DNA	PS	b	PS	No	No	No	0	PL	2022_Late	SpringBarley
KL22Fun-36	KL22Bac-36	22LH6	pig slurry	3	Højbakkegaard	Late_50d	2022		Fall	Tanja	DNA	PS	c	PS	No	No	No	0	PL	2022_Late	SpringBarley
KL22Fun-37	KL22Bac-37	22LH7	pig slurry with Vizura	1	Højbakkegaard	Late_50d	2022		Fall	Tanja	DNA	PV1	a	PS	Vizura	DMPP	Yes	1	PL	2022_Late	SpringBarley
KL22Fun-38	KL22Bac-38	22LH8	pig slurry with Vizura	2	Højbakkegaard	Late_50d	2022		Fall	Tanja	DNA	PV1	b	PS	Vizura	DMPP	Yes	1	PL	2022_Late	SpringBarley
