OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
398e6d37208120f133d95cbd3dd807f2	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	Devosia	uncultured bacterium
39a08f1ea79debbc4924d664560ddbe4	Bacteria	Acidobacteria	Subgroup 6				
39a7a9e6838c01d0accd37ec5e74d368	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	uncultured bacterium
39adf93bb59ee5c587e9e895bf4ae855	Bacteria	Planctomycetes	Planctomycetacia	Gemmatales	Gemmataceae	uncultured	uncultured bacterium
39b546d0bbdd2f41ce96ee42f9e80ea3	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae		
39b6fed102a0ef9076144ae3c4df8ff0	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	
39b972566d53da6394971693ad2c06fc	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	
39ccc445502c51316f76031cf9edcc9f	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	uncultured	uncultured bacterium
39d76b3a653011749b7f21e90fd52a72	Bacteria	Planctomycetes	Phycisphaerae	Tepidisphaerales	Tepidisphaeraceae	Tepidisphaera	
39dbc6f4a7c992b248f39c493c4a032f	Bacteria	Actinobacteria	Actinobacteria	Frankiales			
39de7dba4d76be940b351f5a67dafd7b	Bacteria	Chloroflexi	JG30-KF-CM66				
39e011f7551056b79ba75271846a4424	Bacteria						
39ec82c7aa341997eedd61c66f3442d8	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast			
39f0ae164a07f262403768228acd9fe4	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast			
39f7bb2a2c82ebcac8746f5064ac2236	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast	uncultured bacterium	uncultured bacterium	uncultured bacterium
39f91a36264a0a4b5cd13f9b553e9251	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Mesorhizobium	
3a12575e20f53dce77d79768be0456b3	Bacteria	Actinobacteria	Actinobacteria	Frankiales	uncultured		
3a154c22265323c49d9fd97ba0f398c3	Bacteria	Acidobacteria	Subgroup 6				
3a1caa26d0a7e8b122e2717a39df558b	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	uncultured	
3a2672abf356409d2175401fb5d69095	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	HSB OF53-F07	
3a322ed2f15e70a4e70f3d6c0558f236	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Psychrobacillus	
3a386f7583941732f9119eb916e73d8d	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Friedmanniella	uncultured bacterium
3a3e66e8b1b39a4b759e6cd27cbadd75	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	
3a4fa2e634f43dd1a20e5aed4407e220	Bacteria	Armatimonadetes	Chthonomonadetes	Chthonomonadales	uncultured bacterium	uncultured bacterium	uncultured bacterium
3a511da10a18452b201aad42398c5e28	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast			
